program,num_cores,np,num_tasks_per_node,num_tasks_per_socket,N,exe_time,f_norm
"task5",1,2,4,2,2000,1.780396,0.000000000134
"task5",1,2,4,2,4000,21.190129,0.000000000504
"task5",1,2,4,2,8000,169.222557,0.000000001930
"task5",1,2,4,2,1000,0.215725,0.000000000033
"task5",1,2,4,2,2000,1.879498,0.000000000134
"task5",1,2,4,2,4000,21.896881,0.000000000504
"task5",1,2,4,2,8000,168.215575,0.000000001930
"task5",1,2,4,2,1000,0.210269,0.000000000033
"task5",1,2,4,2,2000,1.823833,0.000000000134
"task5",1,2,4,2,4000,21.148894,0.000000000504
"task5",1,2,4,2,8000,168.499828,0.000000001930
"task5",1,4,4,2,1000,0.137545,0.000000000033
"task5",1,4,4,2,2000,0.842043,0.000000000132
"task5",1,4,4,2,4000,10.156607,0.000000000500
"task5",1,4,4,2,8000,87.308518,0.000000001930
"task5",1,4,4,2,1000,0.140637,0.000000000033
"task5",1,4,4,2,2000,0.869069,0.000000000130
"task5",1,4,4,2,4000,10.121681,0.000000000500
"task5",1,4,4,2,8000,85.587560,0.000000001930
"task5",1,4,4,2,1000,0.136127,0.000000000033
"task5",1,4,4,2,2000,0.843970,0.000000000133
"task5",1,4,4,2,4000,10.283418,0.000000000500
"task5",1,4,4,2,8000,85.450608,0.000000001930
"task5",1,8,4,2,1000,0.093784,0.000000000033
"task5",1,8,4,2,2000,0.517267,0.000000000132
"task5",1,8,4,2,4000,4.071563,0.000000000504
"task5",1,8,4,2,8000,43.953926,0.000000001930
"task5",1,8,4,2,1000,0.107196,0.000000000033
"task5",1,8,4,2,2000,0.516585,0.000000000132
"task5",1,8,4,2,4000,3.861993,0.000000000504
"task5",1,8,4,2,8000,43.854126,0.000000001930
"task5",1,8,4,2,1000,0.095255,0.000000000033
"task5",1,8,4,2,2000,0.517604,0.000000000132
"task5",1,8,4,2,4000,4.210756,0.000000000504
"task5",1,8,4,2,8000,43.890223,0.000000001930
"task6",1,2,4,2,1000,0.206027,0.000000000033
"task6",1,2,4,2,2000,1.641468,0.000000000134
"task6",1,2,4,2,4000,20.859875,0.000000000504
"task6",1,2,4,2,8000,168.035747,0.000000001930
"task6",1,2,4,2,1000,0.205992,0.000000000033
"task6",1,2,4,2,2000,1.783849,0.000000000134
"task6",1,2,4,2,4000,20.918164,0.000000000504
"task6",1,2,4,2,8000,168.264656,0.000000001930
"task6",1,2,4,2,1000,0.209806,0.000000000033
"task6",1,2,4,2,2000,1.641763,0.000000000134
"task6",1,2,4,2,4000,21.113597,0.000000000504
"task6",1,2,4,2,8000,168.650466,0.000000001930
"task6",1,4,4,2,1000,0.125797,0.000000000033
"task6",1,4,4,2,2000,0.817330,0.000000000129
"task6",1,4,4,2,4000,10.026089,0.000000000500
"task6",1,4,4,2,8000,85.096846,0.000000001930
"task6",1,4,4,2,1000,0.125972,0.000000000033
"task6",1,4,4,2,2000,0.813645,0.000000000130
"task6",1,4,4,2,4000,9.947393,0.000000000500
"task6",1,4,4,2,8000,85.025647,0.000000001930
"task6",1,4,4,2,1000,0.127473,0.000000000033
"task6",1,4,4,2,2000,0.817463,0.000000000132
"task6",1,4,4,2,4000,10.006153,0.000000000500
"task6",1,4,4,2,8000,84.968996,0.000000001930
