program,multiplier,precision,n,p,m,block_x,block_y,grid_x,grid_y,NTB,exe_time
"task3","gpu","float",8192,8192,8192,32,32,64,256,4,479.647522
"task3","gpu","float",8192,8192,8192,32,32,64,256,4,475.282349
"task3","gpu","float",8192,8192,8192,32,32,64,256,4,449.597870
"task3","gpu","float",8192,8192,8192,32,32,64,256,4,465.731018
"task3","gpu","float",8192,8192,8192,32,32,32,256,8,434.951721
"task3","gpu","float",8192,8192,8192,32,32,32,256,8,401.280945
"task3","gpu","float",8192,8192,8192,32,32,32,256,8,393.723785
"task3","gpu","float",8192,8192,8192,32,32,43,256,6,418.058899
"task3","gpu","float",8192,8192,8192,32,32,43,256,6,408.698761
"task3","gpu","float",8192,8192,8192,32,32,43,256,6,413.338348
"task3","gpu","float",8192,8192,8192,32,32,128,256,2,640.850952
"task3","gpu","float",8192,8192,8192,32,32,128,256,2,602.279663
"task3","gpu","float",8192,8192,8192,32,32,128,256,2,592.588013
"task3","gpu","float",8192,8192,8192,32,32,256,256,1,897.211426
"task3","gpu","float",8192,8192,8192,32,32,256,256,1,914.850342
"task3","gpu","float",8192,8192,8192,32,32,256,256,1,877.773865
"task3","gpu","float",8192,8192,8192,32,32,37,256,7,404.493988
"task3","gpu","float",8192,8192,8192,32,32,37,256,7,398.505951
"task3","gpu","float",8192,8192,8192,32,32,37,256,7,390.610229
