MFLOPS,N
4825.286464,9
6619.201702,19
9802.307550,40
9761.856450,85
10822.632914,180
12577.995565,378
13054.867404,794
7117.442846,1667
7173.469402,3502
7258.715773,7355
7222.069852,15447
4101.037301,32439
1639.891256,68122
1637.273739,143056
1645.721891,300419
1428.380356,630880
1078.581544,1324849
931.312054,2782184
861.880513,5842587
862.253166,12269432
857.323386,25765808
853.800205,54108198
795.403170,113627216
4825.324377,9
6592.034599,19
4823.560318,9
8698.548653,40
4827.223100,9
6544.282606,19
8704.930973,40
6612.499839,19
9266.341096,85
8705.410529,40
9737.746648,180
9267.019442,85
11330.589208,378
9738.405483,180
11645.689950,794
11329.686722,378
6311.346008,1667
11645.211784,794
6422.967814,3502
6341.000062,1667
6365.632923,7355
6436.590154,3502
6258.376034,15447
6411.009289,7355
3171.378248,32439
6316.416736,15447
3529.596998,32439
1599.404762,68122
1572.947552,68122
1579.004226,143056
1570.357546,143056
1572.272296,300419
1565.650048,300419
1395.167374,630880
1546.903174,630880
1003.224519,1324849
1254.429355,1324849
893.032236,2782184
982.686182,2782184
838.628041,5842587
876.033737,5842587
829.539822,12269432
853.936474,12269432
827.528365,25765808
856.675318,25765808
840.464360,54108198
863.593753,54108198
842.478035,113627216
869.660263,113627216
4823.792236,9
4823.715311,9
4821.726422,9
4823.763532,9
6607.337697,19
6608.519529,19
6604.553184,19
6604.810118,19
8699.936633,40
8699.338369,40
8699.012384,40
8698.625938,40
9260.294208,85
9260.174139,85
9256.883317,85
9260.287039,85
9734.104076,180
9734.019919,180
9731.398701,180
9571.173643,180
11323.530009,378
11326.584619,378
11326.601500,378
11325.632137,378
11639.350770,794
11642.037953,794
11642.159245,794
11641.213234,794
6345.161251,1667
6316.752506,1667
6332.506697,1667
6307.024214,1667
6430.593239,3502
6435.720089,3502
6432.705597,3502
6381.712042,3502
6406.333067,7355
6370.712839,7355
6330.120702,7355
6326.428922,7355
6375.033144,15447
6382.207886,15447
6358.220955,15447
6230.110339,15447
3634.185322,32439
3750.463478,32439
3499.457396,32439
3233.174700,32439
1557.802340,68122
1593.647140,68122
1543.946205,68122
1572.300381,68122
1577.425004,143056
1546.862497,143056
1527.712939,143056
1556.155197,143056
1373.413759,300419
1316.161568,300419
1380.062501,300419
1335.404933,300419
906.831828,630880
911.199831,630880
950.654597,630880
1417.666659,630880
802.259780,1324849
806.643570,1324849
1101.787593,1324849
842.448554,1324849
829.863075,2782184
840.323799,2782184
792.021877,2782184
810.013423,2782184
793.208439,5842587
800.387806,5842587
791.072156,5842587
802.672837,5842587
794.695366,12269432
794.127614,12269432
790.610703,12269432
796.375772,12269432
791.294280,25765808
790.100906,25765808
787.462146,25765808
803.278547,25765808
791.493893,54108198
790.911705,54108198
787.424869,54108198
802.525128,54108198
790.500446,113627216
791.543881,113627216
787.666694,113627216
801.550648,113627216
4864.390965,9
6614.012735,19
9276.020175,40
9949.146007,85
10954.860494,180
12678.959329,378
12237.736891,794
7227.492932,1667
7339.088964,3502
7338.245536,7355
7087.745776,15447
3499.930594,32439
1630.161893,68122
1623.609294,143056
1624.946751,300419
1380.800821,630880
1057.011219,1324849
798.969704,2782184
852.849212,5842587
853.615668,12269432
859.334341,25765808
855.345409,54108198
650.689908,113627216
