MFLOPS,N
4824.341123,9
4824.360646,9
4824.360646,9
4824.250398,9
4824.235470,9
4824.365240,9
4823.498324,9
4824.543254,9
6604.475700,19
6608.724709,19
6606.328678,19
6605.810514,19
6608.601192,19
6605.981866,19
6608.952361,19
6606.362341,19
8698.048013,40
8699.513134,40
8700.422362,40
8700.099657,40
8699.351812,40
8698.738508,40
8698.696504,40
7026.017026,40
9263.339977,85
9263.580282,85
9263.490615,85
9263.580282,85
9263.092512,85
9263.467302,85
9260.435785,85
9262.782303,85
9735.587342,180
9735.744486,180
9735.751969,180
9735.288034,180
9734.425755,180
9732.937234,180
9570.808424,180
9734.631491,180
11324.913661,378
11324.489369,378
11324.429103,378
11324.711154,378
11324.530351,378
11321.122681,378
11322.144285,378
11324.368838,378
11640.022449,794
11639.961825,794
11640.092774,794
11640.315879,794
11635.925683,794
11567.167046,794
11640.366806,794
11640.378931,794
6335.261841,1667
6329.222536,1667
6300.863960,1667
6296.425370,1667
6278.898721,1667
6242.087103,1667
6301.210544,1667
6219.022584,1667
6428.156285,3502
6343.747377,3502
6401.769191,3502
6371.750952,3502
6300.665896,3502
6374.128172,3502
6411.450761,3502
6393.460771,3502
6391.102478,7355
6355.571029,7355
6362.214938,7355
6356.513956,7355
6349.308609,7355
6350.772061,7355
6381.756840,7355
6376.243254,7355
6395.412439,15447
6374.064175,15447
6379.302507,15447
6308.437612,15447
6347.697351,15447
6251.082258,15447
6390.204128,15447
6344.026995,15447
3739.798608,32439
3627.553628,32439
3517.732600,32439
3515.324382,32439
3309.511087,32439
3029.770970,32439
3655.808797,32439
3407.219286,32439
1581.671053,68122
1565.737391,68122
1516.934185,68122
1517.130092,68122
1486.445278,68122
1577.932177,68122
1589.841508,68122
1551.032671,68122
1431.069307,143056
1357.324492,143056
1364.519243,143056
1308.529145,143056
1438.061892,143056
1366.285951,143056
1433.546161,143056
1516.354657,143056
758.559936,300419
784.761995,300419
762.675693,300419
1365.806954,300419
782.619783,300419
1076.499418,300419
1315.249265,300419
1374.585918,300419
671.288399,630880
679.218983,630880
671.769039,630880
669.728162,630880
694.754250,630880
696.060581,630880
1316.286966,630880
743.711667,630880
640.564643,1324849
668.895203,1324849
649.465085,1324849
666.759837,1324849
633.249859,1324849
668.965820,1324849
875.266417,1324849
626.809936,2782184
637.942447,2782184
638.367909,2782184
725.568865,1324849
659.464102,2782184
660.745346,2782184
651.085865,2782184
669.529746,2782184
622.166576,5842587
692.090885,2782184
636.355321,5842587
642.689133,5842587
677.386121,5842587
679.574854,5842587
667.953222,5842587
668.413538,5842587
641.480331,5842587
633.447470,12269432
651.075216,12269432
653.179772,12269432
690.233059,12269432
694.401373,12269432
691.066541,12269432
763.743478,12269432
688.718402,12269432
658.057468,25765808
664.326797,25765808
660.763410,25765808
683.160650,25765808
687.150168,25765808
683.242173,25765808
804.734311,25765808
626.067528,54108198
678.311397,25765808
634.315165,54108198
638.979169,54108198
693.343093,54108198
695.251962,54108198
695.681671,54108198
818.510589,54108198
844.254951,54108198
665.968917,113627216
672.995058,113627216
675.003411,113627216
717.145465,113627216
718.505851,113627216
714.311458,113627216
815.637154,113627216
869.289477,113627216
