num_cores,num_threads,seed,program,wc_time,area
24,1,144545,omp-ts,4.815033,1.508030
24,1,144545,omp-ts,4.814696,1.508030
24,1,144545,omp-ts,4.815436,1.508030
24,2,144545,omp-ts,4.092044,1.507980
24,2,144545,omp-ts,4.092404,1.507980
24,2,144545,omp-ts,4.092151,1.507980
24,4,144545,omp-ts,2.185841,1.508098
24,4,144545,omp-ts,2.186065,1.508098
24,4,144545,omp-ts,2.185981,1.508098
24,12,144545,omp-ts,0.945855,1.508052
24,12,144545,omp-ts,0.945120,1.508052
24,12,144545,omp-ts,0.945692,1.508052
24,24,144545,omp-ts,0.529861,1.507894
24,24,144545,omp-ts,0.529500,1.507894
24,24,144545,omp-ts,0.529333,1.507894
24,2,144545,omp,4.103495,1.508238
24,2,144545,omp,4.099692,1.508126
24,2,144545,omp,4.099715,1.508068
