program,num_cores,np,num_tasks_per_node,num_tasks_per_socket,N,block_size,exe_time,f_norm
"c-omp",24,1,-1,-1,1000,16,0.045589,0.000000000058
"c-omp",24,1,-1,-1,2000,16,0.159660,0.000000000307
"c-omp",24,1,-1,-1,4000,16,0.905059,0.000000001665
"c-omp",24,1,-1,-1,7633,16,3.733309,0.000000008384
"c-omp",24,1,-1,-1,8000,16,4.508045,0.000000009228
"c-omp",24,1,-1,-1,1000,16,0.032340,0.000000000058
"c-omp",24,1,-1,-1,2000,16,0.178156,0.000000000307
"c-omp",24,1,-1,-1,4000,16,0.930384,0.000000001665
"c-omp",24,1,-1,-1,7633,16,3.908530,0.000000008384
"c-omp",24,1,-1,-1,8000,16,4.204441,0.000000009228
"c-omp",24,1,-1,-1,1000,16,0.033660,0.000000000058
"c-omp",24,1,-1,-1,2000,16,0.144135,0.000000000307
"c-omp",24,1,-1,-1,4000,16,0.799331,0.000000001665
"c-omp",24,1,-1,-1,7633,16,3.838220,0.000000008384
"c-omp",24,1,-1,-1,8000,16,4.205162,0.000000009228
"c-omp",24,1,-1,-1,1000,8,0.059908,0.000000000076
"c-omp",24,1,-1,-1,2000,8,0.206657,0.000000000413
"c-omp",24,1,-1,-1,4000,8,1.030073,0.000000002279
"c-omp",24,1,-1,-1,7633,8,4.580579,0.000000011616
"c-omp",24,1,-1,-1,8000,8,6.235720,0.000000012747
"c-omp",24,1,-1,-1,1000,8,0.061320,0.000000000076
"c-omp",24,1,-1,-1,2000,8,0.201472,0.000000000413
"c-omp",24,1,-1,-1,4000,8,1.174979,0.000000002279
"c-omp",24,1,-1,-1,7633,8,4.561882,0.000000011616
"c-omp",24,1,-1,-1,8000,8,6.222046,0.000000012747
"c-omp",24,1,-1,-1,1000,8,0.061194,0.000000000076
"c-omp",24,1,-1,-1,2000,8,0.285736,0.000000000413
"c-omp",24,1,-1,-1,4000,8,1.094556,0.000000002279
"c-omp",24,1,-1,-1,7633,8,4.589521,0.000000011616
"c-omp",24,1,-1,-1,8000,8,6.231745,0.000000012747
"c-omp",24,1,-1,-1,1000,32,0.043465,0.000000000047
"c-omp",24,1,-1,-1,2000,32,0.199020,0.000000000238
"c-omp",24,1,-1,-1,4000,32,0.869743,0.000000001250
"c-omp",24,1,-1,-1,7633,32,4.152543,0.000000006169
"c-omp",24,1,-1,-1,8000,32,4.139775,0.000000006818
"c-omp",24,1,-1,-1,1000,32,0.032478,0.000000000047
"c-omp",24,1,-1,-1,2000,32,0.207128,0.000000000238
"c-omp",24,1,-1,-1,4000,32,0.860116,0.000000001250
"c-omp",24,1,-1,-1,7633,32,4.083358,0.000000006169
"c-omp",24,1,-1,-1,8000,32,4.368578,0.000000006818
"c-omp",24,1,-1,-1,1000,32,0.032192,0.000000000047
"c-omp",24,1,-1,-1,2000,32,0.191270,0.000000000238
"c-omp",24,1,-1,-1,4000,32,0.954655,0.000000001250
"c-omp",24,1,-1,-1,7633,32,4.192816,0.000000006169
"c-omp",24,1,-1,-1,8000,32,4.032812,0.000000006818
