program,num_cores,np,num_tasks_per_node,num_tasks_per_socket,N,P,M,block_size,exe_time,blas_exe_time,f_norm
"serial-kij",1,1,1,-1,1024,1024,1024,1,0.355920,0.059393,6.371201546728e-16
"serial-blocking",1,1,1,-1,1024,1024,1024,16,0.304235,0.046903,2.786283527319e-16
"serial-blocking-transpose",1,1,1,-1,1024,1024,1024,16,0.204600,0.047699,2.786498090837e-16
"serial-kij",1,1,1,-1,1024,1024,1024,1,0.355720,0.047544,6.371201546728e-16
"serial-blocking",1,1,1,-1,1024,1024,1024,16,0.305687,0.046061,2.786283527319e-16
"serial-blocking-transpose",1,1,1,-1,1024,1024,1024,16,0.204615,0.046852,2.786498090837e-16
"serial-kij",1,1,1,-1,1024,1024,1024,1,0.356443,0.058940,6.371201546728e-16
"serial-blocking",1,1,1,-1,1024,1024,1024,16,0.306277,0.046778,2.786283527319e-16
"serial-blocking-transpose",1,1,1,-1,1024,1024,1024,16,0.204617,0.048372,2.786498090837e-16
"serial-kij",1,1,1,-1,8192,8192,8192,1,369.044164,15.435415,1.668041823231e-15
"serial-blocking",1,1,1,-1,8192,8192,8192,16,215.731537,15.325771,4.340773054883e-16
"serial-blocking-transpose",1,1,1,-1,8192,8192,8192,16,148.883269,15.462478,4.340741308426e-16
"serial-kij",1,1,1,-1,8192,8192,8192,1,370.759340,15.329416,1.668041823231e-15
"serial-blocking",1,1,1,-1,8192,8192,8192,16,215.790092,15.566405,4.340773054883e-16
"serial-blocking-transpose",1,1,1,-1,8192,8192,8192,16,150.141667,15.605578,4.340741308426e-16
"serial-kij",1,1,1,-1,8192,8192,8192,1,370.515981,15.665422,1.668041823231e-15
"serial-blocking",1,1,1,-1,8192,8192,8192,16,215.416347,15.527735,4.340773054883e-16
"serial-blocking-transpose",1,1,1,-1,8192,8192,8192,16,149.774363,15.574242,4.340741308426e-16
"serial-kij",1,1,1,-1,1024,1024,8192,1,5.232941,0.295074,6.383656173549e-16
"serial-blocking",1,1,1,-1,1024,1024,8192,16,3.241055,0.301887,2.788455184199e-16
"serial-blocking-transpose",1,1,1,-1,1024,1024,8192,16,1.813300,0.295632,2.788699478646e-16
"serial-kij",1,1,1,-1,1024,1024,8192,1,5.222771,0.290923,6.383656173549e-16
"serial-blocking",1,1,1,-1,1024,1024,8192,16,3.248562,0.304497,2.788455184199e-16
"serial-blocking-transpose",1,1,1,-1,1024,1024,8192,16,1.819366,0.295578,2.788699478646e-16
"serial-kij",1,1,1,-1,1024,1024,8192,1,5.234281,0.296638,6.383656173549e-16
"serial-blocking",1,1,1,-1,1024,1024,8192,16,3.243585,0.297042,2.788455184199e-16
"serial-blocking-transpose",1,1,1,-1,1024,1024,8192,16,1.816908,0.293427,2.788699478646e-16
"serial-kij",1,1,1,-1,8192,8192,1024,1,40.151934,1.949832,1.668025257589e-15
"serial-blocking",1,1,1,-1,8192,8192,1024,16,27.078898,1.947489,4.342507171823e-16
"serial-blocking-transpose",1,1,1,-1,8192,8192,1024,16,21.366662,1.932571,4.342841314712e-16
"serial-kij",1,1,1,-1,8192,8192,1024,1,39.381917,1.963296,1.668025257589e-15
"serial-blocking",1,1,1,-1,8192,8192,1024,16,27.215340,1.950313,4.342507171823e-16
"serial-blocking-transpose",1,1,1,-1,8192,8192,1024,16,21.474923,1.958655,4.342841314712e-16
"serial-kij",1,1,1,-1,8192,8192,1024,1,40.001089,1.954959,1.668025257589e-15
"serial-blocking",1,1,1,-1,8192,8192,1024,16,27.204350,1.950418,4.342507171823e-16
"serial-blocking-transpose",1,1,1,-1,8192,8192,1024,16,21.288267,1.937665,4.342841314712e-16
"serial-kij",1,1,1,-1,8192,1024,8192,1,46.328751,2.044719,6.379373802255e-16
"serial-blocking",1,1,1,-1,8192,1024,8192,16,25.860164,2.059931,2.787573777543e-16
"serial-blocking-transpose",1,1,1,-1,8192,1024,8192,16,13.910267,2.055443,2.787580097753e-16
"serial-kij",1,1,1,-1,8192,1024,8192,1,46.129960,2.055771,6.379373802255e-16
"serial-blocking",1,1,1,-1,8192,1024,8192,16,25.262058,2.047064,2.787573777543e-16
"serial-blocking-transpose",1,1,1,-1,8192,1024,8192,16,14.046165,2.026277,2.787580097753e-16
"serial-kij",1,1,1,-1,8192,1024,8192,1,45.728186,2.028935,6.379373802255e-16
"serial-blocking",1,1,1,-1,8192,1024,8192,16,25.774891,2.043156,2.787573777543e-16
"serial-blocking-transpose",1,1,1,-1,8192,1024,8192,16,13.941429,2.013614,2.787580097753e-16
"serial-ijk",1,1,1,-1,1024,1024,1024,1,1.695076,0.064607,2.653513033570e-16
"serial-ijk",1,1,1,-1,1024,1024,1024,1,1.693149,0.058641,2.653513033570e-16
"serial-ijk",1,1,1,-1,1024,1024,1024,1,1.685650,0.058978,2.653513033570e-16
"serial-ijk",1,1,1,-1,2048,2048,2048,1,15.901257,0.270324,2.315473498103e-16
"serial-ijk",1,1,1,-1,2048,2048,2048,1,15.739300,0.271713,2.315473498103e-16
"serial-ijk",1,1,1,-1,2048,2048,2048,1,16.829971,0.280849,2.315473498103e-16
