num_cores,num_threads,schedule,seed,program,wc_time,area
24,1,"UNDEFINED",12345,serial,49.264908,1.506648
24,1,"UNDEFINED",12345,serial,49.282021,1.506648
24,1,"UNDEFINED",12345,serial,49.257298,1.506648
24,1,"UNDEFINED",12345,serial,49.261936,1.506648
24,1,"UNDEFINED",12345,serial,49.265076,1.506648
24,1,"UNDEFINED",12345,serial,49.257488,1.506648
24,1,"UNDEFINED",12345,serial-avx,17.767672,1.506656
24,1,"UNDEFINED",12345,serial-avx,17.770613,1.506656
24,1,"UNDEFINED",12345,serial-avx,17.777931,1.506656
24,1,"UNDEFINED",12345,serial-avx,17.768702,1.506656
24,1,"UNDEFINED",12345,serial-avx,17.762291,1.506656
24,1,"UNDEFINED",12345,serial-avx,17.752539,1.506656
