program,num_cores,np,num_tasks_per_node,num_tasks_per_socket,N,exe_time,f_norm
"task5",1,2,4,2,1000,0.209703,0.000000000033
"task5",1,2,4,2,2000,1.658001,0.000000000134
"task5",1,2,4,2,1000,0.209898,0.000000000033
"task5",1,2,4,2,2000,1.638624,0.000000000134
"task5",1,2,4,2,4000,21.169423,0.000000000504
"task5",1,2,4,2,8000,169.052137,0.000000001930
"task5",1,2,4,2,1000,0.209377,0.000000000033
"task5",1,2,4,2,2000,1.819062,0.000000000134
"task5",1,2,4,2,4000,21.176367,0.000000000504
"task5",1,2,4,2,8000,169.015183,0.000000001930
"task5",1,2,4,2,1000,0.209414,0.000000000033
"task5",1,2,4,2,2000,1.672352,0.000000000134
"task5",1,2,4,2,4000,21.226046,0.000000000504
"task5",1,2,4,2,8000,169.176622,0.000000001930
"task5",1,4,4,2,1000,0.135499,0.000000000033
"task5",1,4,4,2,2000,0.835917,0.000000000130
"task5",1,4,4,2,4000,9.990524,0.000000000500
"task5",1,4,4,2,8000,85.654813,0.000000001930
"task5",1,4,4,2,1000,0.150207,0.000000000033
"task5",1,4,4,2,2000,0.834584,0.000000000132
"task5",1,4,4,2,4000,10.121670,0.000000000504
"task5",1,4,4,2,8000,85.581113,0.000000001930
"task5",1,4,4,2,1000,0.137082,0.000000000033
"task5",1,4,4,2,2000,0.837421,0.000000000132
"task5",1,4,4,2,4000,10.060780,0.000000000500
"task5",1,4,4,2,8000,85.817948,0.000000001930
"task5",1,8,4,2,1000,0.087033,0.000000000032
"task5",1,8,4,2,2000,0.518232,0.000000000132
"task5",1,8,4,2,4000,4.122071,0.000000000504
"task5",1,8,4,2,8000,43.760969,0.000000001930
"task5",1,8,4,2,1000,0.095970,0.000000000033
"task5",1,8,4,2,2000,0.517129,0.000000000132
"task5",1,8,4,2,4000,4.155477,0.000000000504
"task5",1,8,4,2,8000,43.766033,0.000000001930
"task5",1,8,4,2,1000,0.095347,0.000000000033
"task5",1,8,4,2,2000,0.516672,0.000000000132
"task5",1,8,4,2,4000,3.972017,0.000000000504
"task5",1,8,4,2,8000,43.783357,0.000000001930
"task6",1,2,4,2,1000,0.205525,0.000000000033
"task6",1,2,4,2,2000,1.632210,0.000000000134
"task6",1,2,4,2,4000,21.189117,0.000000000504
"task6",1,2,4,2,8000,168.990111,0.000000001930
"task6",1,2,4,2,1000,0.205981,0.000000000033
"task6",1,2,4,2,2000,1.649768,0.000000000134
"task6",1,2,4,2,4000,21.001526,0.000000000504
"task6",1,2,4,2,8000,168.788493,0.000000001930
"task6",1,2,4,2,1000,0.205561,0.000000000033
"task6",1,2,4,2,2000,1.677646,0.000000000134
"task6",1,2,4,2,4000,20.916351,0.000000000504
"task6",1,2,4,2,8000,169.181685,0.000000001930
"task6",1,4,4,2,1000,0.127138,0.000000000033
"task6",1,4,4,2,2000,0.808521,0.000000000132
"task6",1,4,4,2,4000,9.858514,0.000000000504
"task6",1,4,4,2,8000,85.045734,0.000000001930
"task6",1,4,4,2,1000,0.127795,0.000000000033
"task6",1,4,4,2,2000,0.809329,0.000000000132
"task6",1,4,4,2,4000,9.968334,0.000000000504
"task6",1,4,4,2,8000,85.163062,0.000000001930
"task6",1,4,4,2,1000,0.128020,0.000000000033
"task6",1,4,4,2,2000,0.809422,0.000000000132
"task6",1,4,4,2,4000,9.896306,0.000000000500
"task6",1,4,4,2,8000,85.378481,0.000000001930
"task6",1,8,4,2,1000,0.081019,0.000000000033
"task6",1,8,4,2,2000,0.480193,0.000000000132
"task6",1,8,4,2,4000,4.002844,0.000000000504
"task6",1,8,4,2,8000,43.388865,0.000000001930
"task6",1,8,4,2,1000,0.081671,0.000000000033
"task6",1,8,4,2,2000,0.481747,0.000000000132
"task6",1,8,4,2,4000,4.098310,0.000000000502
"task6",1,8,4,2,8000,43.134213,0.000000001930
"task6",1,8,4,2,1000,0.075242,0.000000000033
"task6",1,8,4,2,2000,0.479167,0.000000000131
"task6",1,8,4,2,4000,4.049088,0.000000000504
"task6",1,8,4,2,8000,43.358730,0.000000001930
"task7",1,2,4,2,1000,0.210529,0.000000000033
"task7",1,2,4,2,2000,1.910338,0.000000000133
"task7",1,2,4,2,4000,21.680853,0.000000000504
"task7",1,2,4,2,8000,169.164716,0.000000001930
"task7",1,2,4,2,1000,0.203944,0.000000000033
"task7",1,2,4,2,2000,1.597015,0.000000000134
"task7",1,2,4,2,4000,20.902507,0.000000000504
"task7",1,2,4,2,8000,168.645123,0.000000001930
"task7",1,2,4,2,1000,0.204010,0.000000000033
"task7",1,2,4,2,2000,1.654284,0.000000000134
"task7",1,2,4,2,4000,21.126525,0.000000000504
"task7",1,2,4,2,8000,168.551167,0.000000001930
"task7",1,4,4,2,1000,0.124663,0.000000000033
"task7",1,4,4,2,2000,0.807057,0.000000000129
"task7",1,4,4,2,4000,9.966698,0.000000000504
"task7",1,4,4,2,8000,84.987480,0.000000001930
"task7",1,4,4,2,1000,0.125016,0.000000000033
"task7",1,4,4,2,2000,0.804247,0.000000000130
"task7",1,4,4,2,4000,9.924072,0.000000000504
"task7",1,4,4,2,8000,85.056378,0.000000001930
"task7",1,4,4,2,1000,0.125978,0.000000000033
"task7",1,4,4,2,2000,0.808629,0.000000000132
"task7",1,4,4,2,4000,9.877952,0.000000000504
"task7",1,4,4,2,8000,85.036134,0.000000001930
"task7",1,8,4,2,1000,0.072811,0.000000000033
"task7",1,8,4,2,2000,0.478809,0.000000000131
"task7",1,2,4,2,1000,0.204321,0.000000000033
"task7",1,2,4,2,2000,1.613781,0.000000000134
"task7",1,2,4,2,4000,20.975052,0.000000000504
"task7",1,2,4,2,8000,169.034939,0.000000001930
"task7",1,2,4,2,1000,0.205090,0.000000000033
"task7",1,2,4,2,2000,1.795510,0.000000000133
"task7",1,2,4,2,4000,20.965726,0.000000000504
"task7",1,2,4,2,8000,168.951022,0.000000001930
"task7",1,2,4,2,1000,0.205987,0.000000000033
"task7",1,2,4,2,2000,1.657621,0.000000000133
"task7",1,2,4,2,4000,20.979139,0.000000000504
"task7",1,2,4,2,8000,168.652165,0.000000001930
"task7",1,4,4,2,1000,0.124934,0.000000000033
"task7",1,4,4,2,2000,0.810204,0.000000000130
"task7",1,4,4,2,4000,9.995419,0.000000000500
"task7",1,4,4,2,8000,85.036365,0.000000001930
"task7",1,4,4,2,1000,0.125256,0.000000000033
"task7",1,4,4,2,2000,0.808303,0.000000000130
"task7",1,4,4,2,4000,9.980686,0.000000000500
"task7",1,4,4,2,8000,85.065467,0.000000001930
"task7",1,4,4,2,1000,0.124578,0.000000000033
"task7",1,4,4,2,2000,0.808846,0.000000000130
"task7",1,4,4,2,4000,9.878585,0.000000000500
"task7",1,4,4,2,8000,85.036420,0.000000001930
"task7",1,8,4,2,1000,0.081680,0.000000000033
"task7",1,8,4,2,2000,0.477141,0.000000000131
"task7",1,8,4,2,4000,3.840931,0.000000000504
"task7",1,8,4,2,8000,43.204278,0.000000001930
"task7",1,8,4,2,1000,0.079735,0.000000000033
"task7",1,8,4,2,2000,0.475318,0.000000000132
"task7",1,8,4,2,4000,3.773566,0.000000000504
"task7",1,8,4,2,8000,43.106838,0.000000001930
"task7",1,8,4,2,1000,0.076043,0.000000000033
"task7",1,8,4,2,2000,0.477736,0.000000000132
"task7",1,8,4,2,4000,4.058245,0.000000000504
