program,num_cores,np,num_tasks_per_node,num_tasks_per_socket,N,exe_time,f_norm
"task5",1,2,4,2,1000,0.209891,0.000000000033
"task5",1,2,4,2,2000,1.826251,0.000000000134
"task6",1,2,4,2,1000,0.209716,0.000000000033
"task6",1,2,4,2,2000,1.908108,0.000000000134
"task7",1,2,4,2,1000,0.209112,0.000000000033
"task7",1,2,4,2,2000,2.094334,0.000000000133
"task5",1,2,4,2,4000,21.690508,0.000000000504
"task6",1,2,4,2,4000,21.782625,0.000000000504
"task7",1,2,4,2,4000,21.488145,0.000000000504
"task5",1,2,4,2,8000,182.206623,0.000000001930
"task5",1,2,4,2,1000,0.216333,0.000000000033
"task5",1,2,4,2,2000,2.118394,0.000000000134
"task6",1,2,4,2,8000,178.778309,0.000000001930
"task6",1,2,4,2,1000,0.213815,0.000000000033
"task6",1,2,4,2,2000,2.004126,0.000000000134
"task7",1,2,4,2,8000,175.206809,0.000000001930
"task7",1,2,4,2,1000,0.208275,0.000000000033
"task7",1,2,4,2,2000,1.963748,0.000000000134
"task5",1,2,4,2,4000,22.506745,0.000000000504
"task6",1,2,4,2,4000,21.988928,0.000000000504
"task7",1,2,4,2,4000,21.715024,0.000000000504
"task5",1,2,4,2,8000,182.402704,0.000000001930
"task5",1,2,4,2,1000,0.216148,0.000000000033
"task6",1,2,4,2,8000,179.119391,0.000000001930
"task5",1,2,4,2,2000,2.075115,0.000000000134
"task6",1,2,4,2,1000,0.210626,0.000000000033
"task7",1,2,4,2,8000,175.182596,0.000000001930
"task7",1,2,4,2,1000,0.211683,0.000000000033
"task6",1,2,4,2,2000,2.100216,0.000000000134
"task7",1,2,4,2,2000,2.214004,0.000000000133
"task5",1,2,4,2,4000,22.825032,0.000000000504
"task6",1,2,4,2,4000,22.057728,0.000000000504
"task7",1,2,4,2,4000,21.946856,0.000000000504
"task7",1,2,4,2,8000,175.484465,0.000000001930
"task7",1,4,4,2,1000,0.126929,0.000000000033
"task7",1,4,4,2,2000,0.825686,0.000000000129
"task6",1,2,4,2,8000,178.668789,0.000000001930
"task6",1,4,4,2,1000,0.130197,0.000000000033
"task6",1,4,4,2,2000,0.847939,0.000000000130
"task5",1,2,4,2,8000,182.187354,0.000000001930
"task5",1,4,4,2,1000,0.143369,0.000000000033
"task5",1,4,4,2,2000,0.880375,0.000000000129
"task7",1,4,4,2,4000,10.820174,0.000000000504
"task6",1,4,4,2,4000,10.881159,0.000000000504
"task5",1,4,4,2,4000,11.232064,0.000000000500
"task7",1,4,4,2,8000,89.111327,0.000000001930
"task7",1,4,4,2,1000,0.128873,0.000000000033
"task7",1,4,4,2,2000,0.828876,0.000000000129
"task6",1,4,4,2,8000,89.684456,0.000000001930
"task6",1,4,4,2,1000,0.129858,0.000000000033
"task6",1,4,4,2,2000,0.826411,0.000000000130
"task5",1,4,4,2,8000,92.426564,0.000000001930
"task5",1,4,4,2,1000,0.144505,0.000000000033
"task5",1,4,4,2,2000,0.872239,0.000000000133
"task7",1,4,4,2,4000,10.868669,0.000000000500
"task6",1,4,4,2,4000,10.975189,0.000000000500
"task5",1,4,4,2,4000,11.067775,0.000000000504
"task7",1,4,4,2,8000,89.033662,0.000000001930
"task7",1,4,4,2,1000,0.128613,0.000000000033
"task7",1,4,4,2,2000,0.839496,0.000000000133
"task6",1,4,4,2,8000,89.501393,0.000000001930
"task6",1,4,4,2,1000,0.129369,0.000000000033
"task6",1,4,4,2,2000,0.848786,0.000000000132
"task5",1,4,4,2,8000,92.356757,0.000000001930
"task5",1,4,4,2,1000,0.142921,0.000000000033
"task7",1,4,4,2,4000,10.661242,0.000000000504
"task5",1,4,4,2,2000,0.880642,0.000000000132
"task6",1,4,4,2,4000,10.903929,0.000000000500
"task5",1,4,4,2,4000,10.849220,0.000000000504
"task7",1,4,4,2,8000,89.080273,0.000000001930
"task7",1,8,4,2,1000,0.084899,0.000000000033
"task7",1,8,4,2,2000,0.485191,0.000000000130
"task6",1,4,4,2,8000,89.506736,0.000000001930
"task6",1,8,4,2,1000,0.084711,0.000000000033
"task6",1,8,4,2,2000,0.495660,0.000000000130
"task7",1,8,4,2,4000,4.393719,0.000000000502
"task6",1,8,4,2,4000,4.576982,0.000000000504
"task5",1,4,4,2,8000,92.042526,0.000000001930
"task5",1,8,4,2,1000,0.111892,0.000000000033
"task5",1,8,4,2,2000,0.537781,0.000000000132
"task5",1,8,4,2,4000,5.048105,0.000000000504
"task7",1,8,4,2,8000,44.971064,0.000000001930
"task7",1,8,4,2,1000,0.095306,0.000000000033
"task7",1,8,4,2,2000,0.485580,0.000000000130
"task6",1,8,4,2,8000,45.319398,0.000000001930
"task6",1,8,4,2,1000,0.077718,0.000000000033
"task6",1,8,4,2,2000,0.495596,0.000000000131
"task7",1,8,4,2,4000,4.497204,0.000000000504
"task6",1,8,4,2,4000,4.382633,0.000000000504
"task5",1,8,4,2,8000,46.950884,0.000000001930
"task5",1,8,4,2,1000,0.096867,0.000000000033
"task5",1,8,4,2,2000,0.538776,0.000000000132
"task5",1,8,4,2,4000,4.916903,0.000000000504
"task7",1,8,4,2,8000,45.066869,0.000000001930
"task7",1,8,4,2,1000,0.106643,0.000000000033
"task7",1,8,4,2,2000,0.485375,0.000000000132
"task6",1,8,4,2,8000,45.333043,0.000000001930
"task6",1,8,4,2,1000,0.097008,0.000000000033
"task6",1,8,4,2,2000,0.495361,0.000000000132
"task7",1,8,4,2,4000,4.540130,0.000000000504
"task6",1,8,4,2,4000,4.699127,0.000000000504
"task5",1,8,4,2,8000,46.896622,0.000000001930
"task5",1,8,4,2,1000,0.097352,0.000000000033
"task5",1,8,4,2,2000,0.536713,0.000000000132
"task5",1,8,4,2,4000,4.908753,0.000000000504
"task7",1,8,4,2,8000,44.981995,0.000000001930
"task6",1,8,4,2,8000,45.241954,0.000000001930
"task5",1,8,4,2,8000,45.782273,0.000000001930
