program,multiplier,precision,n,p,m,block_x,block_y,grid_x,grid_y,exe_time
"task2","gpu","float",1024,1024,1024,8,8,128,128,2.804544
"task2","gpu","float",1024,1024,1024,16,16,64,64,2.139968
"task2","gpu","float",1024,1024,1024,32,32,32,32,2.382944
"task2","gpu","float",8192,8192,8192,8,8,1024,1024,1382.078491
"task2","gpu","float",1024,1024,1024,8,8,128,128,2.823680
"task2","gpu","float",1024,1024,1024,16,16,64,64,2.162400
"task2","gpu","float",1024,1024,1024,32,32,32,32,2.389568
"task2","gpu","float",8192,8192,8192,8,8,1024,1024,1389.939453
"task2","gpu","float",8192,8192,8192,16,16,512,512,902.910034
"task2","gpu","float",8192,8192,8192,32,32,256,256,873.577393
"task2","gpu","float",1024,8192,1024,8,8,128,128,16.613440
"task2","gpu","float",1024,8192,1024,16,16,64,64,12.524864
"task2","gpu","float",1024,8192,1024,32,32,32,32,19.200512
"task2","gpu","float",8192,1024,8192,8,8,1024,1024,180.736740
"task2","gpu","float",8192,1024,8192,16,16,512,512,105.483711
"task2","gpu","float",8192,1024,8192,32,32,256,256,108.535774
"task2","gpu","float",8192,8192,1024,8,8,128,1024,176.464539
"task2","gpu","float",8192,8192,1024,16,16,64,512,135.151367
"task2","gpu","float",8192,8192,1024,32,32,32,256,143.668961
"task2","gpu","float",1024,1024,1024,8,8,128,128,2.827424
"task2","gpu","float",1024,1024,1024,16,16,64,64,2.161888
"task2","gpu","float",1024,1024,1024,32,32,32,32,2.389824
"task2","gpu","float",8192,8192,8192,8,8,1024,1024,1373.404907
"task2","gpu","float",8192,8192,8192,16,16,512,512,872.437988
"task2","gpu","float",8192,8192,8192,32,32,256,256,897.296326
"task2","gpu","float",1024,8192,1024,8,8,128,128,16.611584
"task2","gpu","float",1024,8192,1024,16,16,64,64,12.530176
"task2","gpu","float",1024,8192,1024,32,32,32,32,14.002048
"task2","gpu","float",8192,1024,8192,8,8,1024,1024,180.409668
"task2","gpu","float",8192,1024,8192,16,16,512,512,105.817024
"task2","gpu","float",8192,1024,8192,32,32,256,256,108.552513
"task2","gpu","float",8192,8192,1024,8,8,128,1024,165.916702
"task2","gpu","float",8192,8192,1024,16,16,64,512,127.088448
"task2","gpu","float",8192,8192,1024,32,32,32,256,136.616898
"task2","gpu","double",8192,8192,8192,8,8,1024,1024,3043.782715
"task2","gpu","double",8192,8192,8192,8,8,1024,1024,3041.122803
"task2","gpu","double",8192,8192,8192,8,8,1024,1024,3039.815186
"task2","gpu","double",8192,8192,8192,16,16,512,512,2588.681641
"task2","gpu","double",8192,8192,8192,16,16,512,512,2605.029053
"task2","gpu","double",8192,8192,8192,16,16,512,512,2623.766602
"task2","gpu","double",8192,8192,8192,32,32,256,256,2573.579590
"task2","gpu","double",8192,8192,8192,32,32,256,256,2539.176270
"task2","gpu","double",8192,8192,8192,32,32,256,256,2564.020264
"task2","gpu","float",1024,1024,1024,8,8,128,128,2.886880
"task2","gpu","float",1024,1024,1024,8,8,128,128,2.888768
"task2","gpu","float",1024,1024,1024,8,8,128,128,2.882496
"task2","gpu","float",1024,1024,1024,16,16,64,64,2.175168
"task2","gpu","float",1024,1024,1024,16,16,64,64,2.170784
"task2","gpu","float",1024,1024,1024,16,16,64,64,2.175200
"task2","gpu","float",1024,1024,1024,32,32,32,32,2.377728
"task2","gpu","float",1024,1024,1024,32,32,32,32,2.378752
"task2","gpu","float",1024,1024,1024,32,32,32,32,2.384192
"task2","gpu","float",8192,8192,8192,8,8,1024,1024,1367.654785
"task2","gpu","float",8192,8192,8192,8,8,1024,1024,1371.385620
"task2","gpu","float",8192,8192,8192,8,8,1024,1024,1373.494995
"task2","gpu","float",8192,8192,8192,16,16,512,512,880.609924
"task2","gpu","float",8192,8192,8192,16,16,512,512,903.070862
"task2","gpu","float",8192,8192,8192,16,16,512,512,873.007202
