program,multiplier,precision,n,p,m,block_x,block_y,grid_x,grid_y,NTB,exe_time
"task3","gpu","float",8192,8192,8192,32,32,256,256,2,1139.566895
"task3","gpu","float",8192,8192,8192,32,32,256,256,2,1122.542480
"task3","gpu","float",8192,8192,8192,32,32,256,256,2,1108.312622
"task3","gpu","float",8192,8192,8192,32,32,256,256,4,1649.423950
"task3","gpu","float",8192,8192,8192,32,32,256,256,4,1655.234375
"task3","gpu","float",8192,8192,8192,32,32,256,256,4,1674.670288
"task3","gpu","float",8192,8192,8192,32,32,256,256,8,2808.502930
"task3","gpu","float",8192,8192,8192,32,32,256,256,8,2816.111084
"task3","gpu","float",8192,8192,8192,32,32,256,256,8,2835.098389
"task3","gpu","float",8192,8192,8192,32,32,256,256,3,1413.120361
"task3","gpu","float",8192,8192,8192,32,32,256,256,3,1405.694092
"task3","gpu","float",8192,8192,8192,32,32,256,256,3,1410.541992
"task3","gpu","float",8192,8192,8192,32,32,256,256,1,876.089844
"task3","gpu","float",8192,8192,8192,32,32,256,256,1,903.322388
"task3","gpu","float",8192,8192,8192,32,32,256,256,1,867.367371
"task3","gpu","float",8192,8192,8192,16,16,512,512,4,1689.931274
"task3","gpu","float",8192,8192,8192,16,16,512,512,4,1694.182251
"task3","gpu","float",8192,8192,8192,16,16,512,512,4,1719.447632
"task3","gpu","float",8192,8192,8192,16,16,512,512,16,5395.357910
"task3","gpu","float",8192,8192,8192,16,16,512,512,16,5432.828125
"task3","gpu","float",8192,8192,8192,16,16,512,512,16,5458.570801
"task3","gpu","float",8192,8192,8192,32,32,256,256,16,0.001920
"task3","gpu","float",8192,8192,8192,32,32,256,256,16,0.001952
"task3","gpu","float",8192,8192,8192,32,32,256,256,16,0.001920
